GOOGL
Price            Close        High         Low        Open     Volume
Ticker           GOOGL       GOOGL       GOOGL       GOOGL      GOOGL
Date                                                                 
2025-11-03  268.789429  270.587704  265.992153  270.158128   50194600
2025-11-04  269.778473  271.227050  267.360803  268.070107   49274800
2025-11-05  269.878387  271.436874  266.671474  268.349840   43683100
2025-11-06  269.508728  273.135217  267.630574  267.630574   51204000
2025-11-07  268.209991  272.026299  266.511626  269.538690   48227400
2025-11-10  269.429993  273.730011  267.459991  268.959991   41312400
2025-11-11  275.250000  275.910004  269.799988  269.809998   46208300
2025-11-12  273.470001  275.730011  271.700012  275.000000   48398000
2025-11-13  272.950012  276.700012  272.089996  274.109985   49602800
2025-11-14  272.410004  275.959991  269.600006  271.049988   47431300
2025-11-17  267.459991  270.489990  265.730011  268.820007   45018300
2025-11-18  267.440002  270.709991  265.320007  269.989990   45677300
2025-11-19  268.559998  272.209991  265.500000  265.529999   40424500
2025-11-20  266.250000  275.429993  265.920013  270.829987   45823600
2025-11-21  271.489990  273.329987  265.670013  265.950012   59030800
2025-11-24  275.920013  277.000000  270.899994  270.899994   65585800
2025-11-25  276.970001  280.380005  275.250000  275.269989   46914200
2025-11-26  277.549988  279.529999  276.630005  276.959991   33431400
2025-11-28  278.850006  279.000000  275.989990  277.260010   20135600
2025-12-01  283.100006  283.420013  276.140015  278.010010   46587700
2025-12-02  286.190002  287.399994  282.630005  283.000000   53669500
2025-12-03  284.149994  288.619995  283.299988  286.200012   43538700
2025-12-04  280.700012  284.730011  278.589996  284.100006   43989100
2025-12-05  278.779999  281.140015  278.049988  280.540009   47265800
2025-12-08  277.890015  279.670013  276.149994  278.130005   38211800
2025-12-09  277.179993  280.029999  276.920013  278.160004   32193300
2025-12-10  278.779999  279.750000  276.440002  277.750000   33038300
2025-12-11  278.029999  279.589996  273.809998  279.100006   33248000
2025-12-12  278.279999  279.220001  276.820007  277.899994   39532900
2025-12-15  274.109985  280.149994  272.839996  280.149994   50409100
2025-12-16  274.609985  275.500000  271.790009  272.820007   37648600
2025-12-17  271.839996  276.160004  271.640015  275.010010   50138700
2025-12-18  272.190002  273.630005  266.950012  273.609985   51630700
2025-12-19  273.670013  274.600006  269.899994  272.149994  144632000
2025-12-22  270.970001  273.880005  270.510010  272.859985   36571800
2025-12-23  272.359985  272.500000  269.559998  270.839996   29642000
2025-12-24  273.809998  275.429993  272.200012  272.339996   17910600
2025-12-26  273.399994  275.369995  272.859985  274.160004   21521800
2025-12-29  273.760010  274.359985  272.350006  272.690002   23715200
2025-12-30  273.079987  274.079987  272.279999  272.809998   22139600
2025-12-31  271.859985  273.679993  271.750000  273.059998   27293600
2026-01-02  271.010010  277.839996  269.000000  272.260010   37838100
2026-01-05  267.260010  271.510010  266.140015  270.640015   45647200
2026-01-06  262.359985  267.549988  262.119995  267.000000   52352100
2026-01-07  260.329987  263.679993  259.809998  263.200012   48309800
2026-01-08  259.040009  259.290009  255.699997  257.019989   50419300
2026-01-09  259.369995  260.209991  256.220001  259.079987   39952300
--------------------------------
NVDA
Price            Close        High         Low        Open     Volume
Ticker            NVDA        NVDA        NVDA        NVDA       NVDA
Date                                                                 
2025-01-02  138.272171  138.842022  134.593185  135.962805  198247200
2025-01-03  144.430496  144.860371  139.691787  139.971709  229322500
2025-01-06  149.389130  152.118394  147.779585  148.549363  265377400
2025-01-07  140.101669  153.088122  139.971700  152.988143  351782200
2025-01-08  140.071701  143.910648  137.522395  142.541027  227349900
2025-01-10  135.872849  139.881747  134.183308  137.412421  207602500
2025-01-13  133.193573  133.453512  129.474589  129.954469  204808900
2025-01-14  131.723969  136.342716  130.014445  136.012804  195590500
2025-01-15  136.202759  136.412693  131.254100  133.613455  185217300
2025-01-16  133.533478  138.712054  133.453498  138.602083  209235600
2025-01-17  137.672348  138.462125  135.422963  136.652623  201188800
2025-01-21  140.791489  141.791215  137.052506  139.121947  197749000
2025-01-22  147.029800  147.749590  143.630721  144.620456  237651400
2025-01-23  147.179749  147.189740  143.680706  145.010344  155915500
2025-01-24  142.580994  148.929263  141.841206  148.329421  234657600
2025-01-27  118.387619  128.364886  116.668088  124.765879  818830900
2025-01-28  128.954727  128.964719  116.218206  121.776683  579666400
2025-01-29  123.666168  126.855298  120.017172  126.465406  467120600
2025-01-30  124.615921  124.965824  118.067709  123.066342  392925500
2025-01-31  120.037170  127.815042  119.157414  123.746155  388161100
2025-02-03  116.628105  118.537579  112.979102  114.718624  371235700
2025-02-04  118.617554  121.166852  116.668082  116.928013  256550000
2025-02-05  124.795860  124.965812  120.726974  121.726700  262230800
2025-02-06  128.644821  128.734808  125.175776  127.385171  251483600
2025-02-07  129.804474  130.334328  124.965802  129.184648  228186300
2025-02-10  133.533478  134.963079  129.924464  130.054419  216989100
2025-02-11  132.763687  134.443220  130.984175  132.543746  178902400
2025-02-12  131.104141  132.203847  129.044707  129.984452  160278600
2025-02-13  135.252991  136.462666  131.134122  131.524015  197430000
2025-02-14  138.812027  139.211911  135.462937  136.442665  195479600
2025-02-18  139.361877  143.400781  137.892278  141.231376  219176600
2025-02-19  139.191940  141.321363  137.182495  139.471863  167536000
2025-02-20  140.071701  140.621554  136.752601  139.991721  143903600
2025-02-21  134.393234  141.421326  133.993350  140.001701  228217600
2025-02-24  130.244385  138.552111  130.044442  136.522667  251381100
2025-02-25  126.595375  130.164399  124.405979  129.944458  271428700
2025-02-26  131.244110  133.693437  128.454880  129.954469  322553800
2025-02-27  120.117149  134.973079  119.977188  134.963087  443175800
2025-02-28  124.885834  125.055785  116.368167  117.987719  389091100
2025-03-03  114.028809  123.666172  112.249297  123.476229  411381400
2025-03-04  115.958290  119.277382  110.079900  110.619754  398163300
2025-03-05  117.267929  118.247657  114.478691  117.547851  284337900
2025-03-06  110.539764  115.318456  110.189862  113.498954  321181900
2025-03-07  112.659195  113.448980  107.530593  111.219586  341755500
2025-03-10  106.950752  111.819416  105.431164  109.869952  366487400
2025-03-11  108.730255  112.209299  104.741341  106.960735  354865700
2025-03-12  115.718994  116.738813  112.859513  114.099293  323857500
2025-03-13  115.559029  117.738633  113.769353  117.008762  299033100
2025-03-14  121.647919  121.857880  118.128561  118.588476  277593500
2025-03-17  119.508308  122.867699  118.008581  122.717725  255501500
2025-03-18  115.409058  118.998403  114.519220  117.978591  299686900
2025-03-19  117.498672  120.428141  115.659010  117.248718  273426200
2025-03-20  118.508484  120.178179  116.448860  116.528848  248829700
2025-03-21  117.678635  117.968583  115.399050  116.918778  266498500
2025-03-24  121.387970  122.197821  119.318338  119.858241  228452500
2025-03-25  120.668098  121.267988  118.898415  120.528124  167447200
2025-03-26  113.739357  118.818429  112.689544  118.708456  293463300
2025-03-27  111.409782  114.429231  110.639925  111.329795  236902100
2025-03-28  109.650101  112.849525  109.050211  111.469770  229872500
2025-03-31  108.360329  110.939862  103.631191  105.110918  299212700
2025-04-01  110.130013  110.179999  106.450680  108.500303  222614000
2025-04-02  110.399956  111.959678  106.770617  107.270527  220601200
2025-04-03  101.781532  105.610832  101.581564  103.491221  338769400
2025-04-04   94.292885  100.111828   92.093287   98.892056  532273800
2025-04-07   97.622276  101.731531   86.604280   87.444124  611041300
2025-04-08   96.282524  105.830786   94.442854  103.791156  476243400
2025-04-09  114.309258  115.079114   97.512303   98.872057  612918300
2025-04-10  107.550476  110.839880   99.132006  109.350152  437812400
2025-04-11  110.909866  111.529757  107.460496  108.480307  313417300
2025-04-14  110.689903  114.269255  109.050202  114.089288  264705000
2025-04-15  112.179634  113.599382  110.479946  110.949862  228966900
2025-04-16  104.471039  106.770625  100.431771  104.531033  397016900
2025-04-17  101.471573  104.451035  100.031839  104.431035  292517500
2025-04-21   96.892418   99.421958   95.022755   98.752073  288501100
2025-04-22   98.872047   99.791879   97.262339   98.762067  241004800
2025-04-23  102.691360  104.780985  102.001483  104.501030  247526000
2025-04-24  106.410675  106.520656  103.091278  103.461214  220815000
2025-04-25  110.989861  111.899691  105.710820  106.830612  251064700
2025-04-28  108.710266  110.349968  106.000751  109.670091  207708500
2025-04-29  109.000206  110.179992  107.420499  107.650453  170444300
2025-04-30  108.900230  108.900230  104.061112  104.451041  235044600
2025-05-01  111.589745  114.919142  111.279803  113.059479  236121500
2025-05-02  114.479225  115.379063  113.349433  114.159284  190194800
2025-05-05  113.799339  114.649183  112.639554  112.889508  133163200
2025-05-06  113.519402  114.719181  110.799894  111.459778  158525600
2025-05-07  117.038757  117.658648  112.259626  113.029490  206758800
2025-05-08  117.348709  118.658469  115.828981  118.228547  198428100
2025-05-09  116.628830  118.208545  115.189089  117.328700  132972200
2025-05-12  122.977676  122.977676  120.258169  121.947865  225023300
2025-05-13  129.906418  131.196192  124.447417  124.957327  330430100
2025-05-14  135.315430  135.415418  131.656090  133.175819  281180800
2025-05-15  134.805527  136.275261  132.635922  134.265616  226632600
2025-05-16  135.375427  136.325267  133.435792  136.195286  226542500
2025-05-19  135.545395  135.845328  132.365964  132.365964  193154600
2025-05-20  134.355621  134.555582  132.595931  134.265626  161514200
2025-05-21  131.776077  137.375052  130.566290  133.035843  270608700
2025-05-22  132.805893  134.225633  131.526126  132.205996  187344000
2025-05-23  131.266174  132.655922  129.136571  129.976415  198821300
2025-05-27  135.475403  135.635377  133.285798  134.125642  192953600
2025-05-28  134.785538  137.225097  134.765537  136.005318  304021100
2025-05-29  139.164749  143.463972  137.884983  142.224192  369241900
2025-05-30  135.105484  139.594659  132.895878  138.694829  333170900
2025-06-02  137.355072  138.094928  135.375420  135.465416  197663100
2025-06-03  141.194366  141.974224  137.924956  138.754807  225578800
2025-06-04  141.894241  142.364157  139.514668  142.164197  167120800
2025-06-05  139.964600  143.973866  138.804806  142.144197  231397900
2025-06-06  141.694275  143.243997  141.484306  142.484125  153986200
2025-06-09  142.604126  144.973691  141.914249  143.164022  185114500
2025-06-10  143.933884  144.263810  141.504317  142.664110  155881900
2025-06-11  142.813995  144.973757  141.854096  144.593795  167694000
2025-06-12  144.983749  144.983749  141.834109  141.954090  162365000
2025-06-13  141.954086  143.563906  140.834217  142.464024  180820600
2025-06-16  144.673782  146.163606  143.183944  143.333936  183133700
2025-06-17  144.103836  145.203719  143.763878  144.473805  139108000
2025-06-18  145.463684  145.633663  143.103948  143.993848  161494100
2025-06-20  143.833878  146.183605  142.634000  145.433689  242956200
2025-06-23  144.153839  144.763771  142.014080  142.484028  154308900
2025-06-24  147.883408  147.943414  145.483683  145.543674  187566100
2025-06-25  154.292709  154.432693  149.243272  149.253281  269146500
2025-06-26  155.002625  156.702431  153.982735  155.962508  198145700
2025-06-27  157.732315  158.692214  155.242589  156.022500  263234500
2025-06-30  157.972305  158.642228  155.942534  158.382248  194580300
2025-07-01  153.282837  157.182394  151.473042  156.272492  213143600
2025-07-02  157.232376  157.582343  152.952857  152.962850  171224100
2025-07-03  159.322144  160.961959  157.752327  158.352251  143716100
2025-07-07  158.222275  159.292147  157.322366  158.182271  140139000
2025-07-08  159.982071  160.202047  158.372251  159.312148  138133000
2025-07-09  162.861755  164.401576  161.141947  161.201938  183656400
2025-07-10  164.081619  164.481568  161.591893  164.301596  167704100
2025-07-11  164.901520  167.871188  163.451685  163.701657  193633300
2025-07-14  164.051620  165.471460  162.001847  165.351463  136975800
2025-07-15  170.680862  172.380669  169.181031  171.170813  230627400
2025-07-16  171.350800  171.730762  168.881075  171.040837  158831500
2025-07-17  172.980621  174.140495  170.810866  172.000735  160841100
2025-07-18  172.390686  174.230476  171.240806  173.620544  146456400
2025-07-21  171.360809  173.360585  170.980847  172.730651  123126100
2025-07-22  167.011292  171.370804  164.561569  171.320806  193114300
2025-07-23  170.760864  171.240806  167.951182  169.511004  154082200
2025-07-24  173.720535  173.810522  171.280806  172.420678  128984600
2025-07-25  173.480560  174.700425  172.940628  173.590549  122316800
2025-07-28  176.730194  176.980166  173.950507  174.000504  140023500
2025-07-29  175.490326  179.359903  175.000391  177.940064  154077500
2025-07-30  179.249924  179.869849  176.020275  176.490223  174312200
2025-07-31  177.850067  183.279467  175.910282  182.879502  221685400
2025-08-01  173.700531  176.520207  170.870846  174.070485  204529000
2025-08-04  179.979828  180.179802  174.500446  175.140374  148174600
